字符名称,状态,字符类型,预览图,Unicode编码,笔画数量,贝塞尔曲线数量,设计难度系数,易经卦象,人格调度,设计师,最后修改时间,创建日期,SVG文件路径,SVG路径数据,CNSH文件路径,一键摘要
龍,🟢 已发布,常用汉字,,U+9F99,16,8,8.5,乾,鲁班字匠,,"February 21, 2026","February 1, 2026",,"M 120 480 L 220 160 C 260 120, 340 120, 380 200 L 300 320",/cnsh/dragon_u9f99.cnsh,字符“龍”的Unicode编码为U+9F99，状态为已发布，笔画数量为16，设计难度系数为8.5，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。
一,🟢 已发布,基础笔画,,U+4E00,1,1,1,坤,墨子工师,,"February 21, 2026","February 1, 2026",,M 140 140 L 360 140 M 200 140 L 200 500,/cnsh/one_u4e00.cnsh,最后修改于2026年2月21日，字符类型为基础笔画，笔画数量为1，设计难度系数为1，易经卦象为坤，包含SVG路径数据和CNSH文件路径。
中,🟢 已发布,常用汉字,,U+4E2D,4,3,3.2,震,诸葛亮,,"February 21, 2026","February 5, 2026",,M 200 100 L 200 500 M 120 300 L 280 300,/cnsh/middle_u4e2d.cnsh,字符“中”的Unicode编码为U+4E2D，笔画数量为4，设计难度系数为3.2，最后修改时间为2026年2月21日，状态为已发布，包含SVG路径数据和CNSH文件路径。
华,🟢 已发布,常用汉字,,U+534E,6,5,5.8,离,雯雯,,"February 21, 2026","February 10, 2026",,"M 140 160 L 360 160 M 200 160 C 180 260, 180 360, 220 460",/cnsh/hua_u534e.cnsh,字符“华”的Unicode编码为U+534E，状态为已发布，包含6笔画和5条贝塞尔曲线，设计难度系数为5.8，易经卦象为离，最后修改时间为2026年2月21日。
魂,🟢 已发布,常用汉字,,U+9B42,14,9,9.2,坎,雯雯,,"February 21, 2026","February 12, 2026",,"M 140 200 L 360 200 C 360 260, 260 360, 200 460",/cnsh/soul_u9b42.cnsh,字符“魂”的Unicode编码为U+9B42，包含14笔画，设计难度系数为9.2，最后修改时间为2026年2月21日，状态为已发布。
丨,🟢 已发布,基础笔画,,U+4E28,1,1,1,艮,墨子工师,,"February 21, 2026","February 1, 2026",,M 200 100 L 200 500,/cnsh/vertical_u4e28.cnsh,最后修改于2026年2月21日，字符类型为基础笔画，笔画数量为1，设计难度系数为1，易经卦象为艮，SVG路径数据为M 200 100 L 200 500，CNSH文件路径为/cnsh/vertical_u4e28.cnsh，创建日期为2026年2月1日。
丿,🟢 已发布,基础笔画,,U+4E3F,1,1,1,巽,鲁班字匠,,"February 21, 2026","February 2, 2026",,M 120 480 L 220 160,/cnsh/slash_u4e3f.cnsh,字符“丿”的Unicode编码为U+4E3F，状态为已发布，笔画数量为1，设计难度系数为1，最后修改时间为2026年2月21日，SVG路径数据为M 120 480 L 220 160。
㇀,🟢 已发布,基础笔画,,U+31C0,1,2,2.1,兑,李白诗仙,,"February 21, 2026","February 15, 2026",,"M 100 300 C 200 100, 400 100, 500 300",/cnsh/curve_u31c0.cnsh,字符类型为基础笔画，笔画数量为1，设计难度系数为2.1，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。
开,🟢 已发布,常用汉字,,U+5F00,4,3,3.5,乾,诸葛亮,,"February 21, 2026","February 16, 2026",,M 140 140 L 360 140 M 200 140 L 200 500,/cnsh/open_u5f00.cnsh,字符“开”的Unicode编码为U+5F00，包含4笔画和3条贝塞尔曲线，设计难度系数为3.5，易经卦象为乾，最后修改时间为2026年2月21日，SVG路径数据为M 140 140 L 360 140 M 200 140 L 200 500。
源,🟢 已发布,常用汉字,,U+6E90,13,11,11.3,坎,王羲之,,"February 21, 2026","February 14, 2026",,"M 140 200 L 360 200 C 360 260, 260 360, 200 460",/cnsh/source_u6e90.cnsh,字符“源”的Unicode编码为U+6E90，状态为已发布，包含13笔画和11条贝塞尔曲线，设计难度系数为11.3，易经卦象为坎，最后修改时间为2026年2月21日，创建日期为2026年2月14日。