字符名称,CNSH文件路径,SVG文件路径,SVG路径数据,Unicode编码,一键摘要,人格调度,创建日期,字符类型,数据摘要,易经卦象,最后修改,最后修改时间,状态,笔画数量,设计师,设计难度系数,贝塞尔曲线数量,预览图
龍,/cnsh/dragon_u9f99.cnsh,,"M 120 480 L 220 160 C 260 120, 340 120, 380 200 L 300 320",U+9F99,字符“龍”的Unicode编码为U+9F99，状态为已发布，笔画数量为16，设计难度系数为8.5，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。,鲁班字匠,"February 1, 2026",常用汉字,最后修改时间为2026年2月21日，字符类型为常用汉字，笔画数量为16，设计难度系数为8.5，易经卦象为乾，包含SVG路径数据和CNSH文件路径。,乾,"February 21, 2026","February 21, 2026",🟢 已发布,16,,8.5,8,
一,/cnsh/one_u4e00.cnsh,,M 140 140 L 360 140 M 200 140 L 200 500,U+4E00,最后修改于2026年2月21日，字符类型为基础笔画，笔画数量为1，设计难度系数为1，易经卦象为坤，包含SVG路径数据和CNSH文件路径。,墨子工师,"February 1, 2026",基础笔画,最后修改于2026年2月21日，状态为已发布，字符类型为基础笔画，笔画数量为1，设计难度系数为1，包含SVG路径数据和CNSH文件路径。,坤,"February 21, 2026","February 21, 2026",🟢 已发布,1,,1,1,
中,/cnsh/middle_u4e2d.cnsh,,M 200 100 L 200 500 M 120 300 L 280 300,U+4E2D,字符“中”的Unicode编码为U+4E2D，笔画数量为4，设计难度系数为3.2，最后修改时间为2026年2月21日，状态为已发布，包含SVG路径数据和CNSH文件路径。,诸葛亮,"February 5, 2026",常用汉字,字符“中”的Unicode编码为U+4E2D，包含4笔画和3条贝塞尔曲线，设计难度系数为3.2，易经卦象为震，最后修改时间为2026年2月21日。,震,"February 21, 2026","February 21, 2026",🟢 已发布,4,,3.2,3,
华,/cnsh/hua_u534e.cnsh,,"M 140 160 L 360 160 M 200 160 C 180 260, 180 360, 220 460",U+534E,字符“华”的Unicode编码为U+534E，状态为已发布，包含6笔画和5条贝塞尔曲线，设计难度系数为5.8，易经卦象为离，最后修改时间为2026年2月21日。,雯雯,"February 10, 2026",常用汉字,字符“华”的Unicode编码为U+534E，笔画数量为6，设计难度系数为5.8，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。,离,"February 21, 2026","February 21, 2026",🟢 已发布,6,,5.8,5,
魂,/cnsh/soul_u9b42.cnsh,,"M 140 200 L 360 200 C 360 260, 260 360, 200 460",U+9B42,字符“魂”的Unicode编码为U+9B42，包含14笔画，设计难度系数为9.2，最后修改时间为2026年2月21日，状态为已发布。,雯雯,"February 12, 2026",常用汉字,字符“魂”的Unicode编码为U+9B42，笔画数量为14，设计难度系数为9.2，状态为已发布，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。,坎,"February 21, 2026","February 21, 2026",🟢 已发布,14,,9.2,9,
丨,/cnsh/vertical_u4e28.cnsh,,M 200 100 L 200 500,U+4E28,最后修改于2026年2月21日，字符类型为基础笔画，笔画数量为1，设计难度系数为1，易经卦象为艮，SVG路径数据为M 200 100 L 200 500，CNSH文件路径为/cnsh/vertical_u4e28.cnsh，创建日期为2026年2月1日。,墨子工师,"February 1, 2026",基础笔画,最后修改于2026年2月21日，字符类型为基础笔画，笔画数量为1，设计难度系数为1，易经卦象为艮，SVG路径数据为M 200 100 L 200 500，CNSH文件路径为/cnsh/vertical_u4e28.cnsh。,艮,"February 21, 2026","February 21, 2026",🟢 已发布,1,,1,1,
丿,/cnsh/slash_u4e3f.cnsh,,M 120 480 L 220 160,U+4E3F,字符“丿”的Unicode编码为U+4E3F，状态为已发布，笔画数量为1，设计难度系数为1，最后修改时间为2026年2月21日，SVG路径数据为M 120 480 L 220 160。,鲁班字匠,"February 2, 2026",基础笔画,字符“丿”是基础笔画，包含1个笔画和1个贝塞尔曲线，设计难度系数为1，易经卦象为巽，最后修改时间为2026年2月21日，创建日期为2026年2月2日，SVG路径数据为M 120 480 L 220 160。,巽,"February 21, 2026","February 21, 2026",🟢 已发布,1,,1,1,
㇀,/cnsh/curve_u31c0.cnsh,,"M 100 300 C 200 100, 400 100, 500 300",U+31C0,字符类型为基础笔画，笔画数量为1，设计难度系数为2.1，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径。,李白诗仙,"February 15, 2026",基础笔画,字符类型为基础笔画，笔画数量为1，设计难度系数为2.1，状态已发布，最后修改时间为2026年2月21日，SVG路径数据和CNSH文件路径也已提供。,兑,"February 21, 2026","February 21, 2026",🟢 已发布,1,,2.1,2,
开,/cnsh/open_u5f00.cnsh,,M 140 140 L 360 140 M 200 140 L 200 500,U+5F00,字符“开”的Unicode编码为U+5F00，包含4笔画和3条贝塞尔曲线，设计难度系数为3.5，易经卦象为乾，最后修改时间为2026年2月21日，SVG路径数据为M 140 140 L 360 140 M 200 140 L 200 500。,诸葛亮,"February 16, 2026",常用汉字,字符“开”的Unicode编码为U+5F00，状态为已发布，笔画数量为4，设计难度系数为3.5，最后修改时间为2026年2月21日，包含SVG路径数据和CNSH文件路径信息。,乾,"February 21, 2026","February 21, 2026",🟢 已发布,4,,3.5,3,
源,/cnsh/source_u6e90.cnsh,,"M 140 200 L 360 200 C 360 260, 260 360, 200 460",U+6E90,字符“源”的Unicode编码为U+6E90，状态为已发布，包含13笔画和11条贝塞尔曲线，设计难度系数为11.3，易经卦象为坎，最后修改时间为2026年2月21日，创建日期为2026年2月14日。,王羲之,"February 14, 2026",常用汉字,字符“源”的Unicode编码为U+6E90，状态为已发布，包含13笔画和11条贝塞尔曲线，设计难度系数为11.3，易经卦象为坎，最后修改时间为2026年2月21日。,坎,"February 21, 2026","February 21, 2026",🟢 已发布,13,,11.3,11,